=== SIMULATION STATUS LOG ===
Started at: 2025-08-05 16:37:20
==================================================

Cell ID | Oxygen | Glucose | Lactate | TGFA | Oxygen_supply | Glucose_supply | MCT1_stimulus | EGFR_stimulus | Apoptosis | Proliferation | Necrosis | Growth_Arrest | mitoATP | glycoATP | Final Phenotype | Step
ce0c8e4c | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
5603d585 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
cdcd1cf1 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
711d9ab8 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
6dcab0c5 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | True | True | True | Growth_Arrest | 0
7e965163 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
eae8c396 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
125f54fe | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
eed5f763 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
807b9c55 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
0c642bcc | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
5fff6010 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | True | False | True | Growth_Arrest | 0
fb9d9fb5 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | True | False | False | True | True | Proliferation | 0
31037c08 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
be8ec944 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
5a91bfba | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | False | True | True | Growth_Arrest | 0
59a97543 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
1a7dbd3e | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | True | True | True | Growth_Arrest | 0
3205585d | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
ecb0909f | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | True | False | False | True | True | Proliferation | 0
1310f4af | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | False | Growth_Arrest | 0
679f86c0 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
ea82b36c | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | True | False | True | Growth_Arrest | 0
5359e36a | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
33328dc3 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
25e309dc | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
eb60851d | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
f1274c15 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
1bc5686a | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
c2fcd556 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
a1afe7a1 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
42ed683f | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
714d0d72 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | True | False | False | False | True | Proliferation | 0
b4a16c12 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | True | True | True | Growth_Arrest | 0
497fddfd | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
dcfc1edf | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
82daffe5 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
7d6ca248 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | True | False | True | Growth_Arrest | 0
df3b9b16 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | False | Growth_Arrest | 0
fcefb3b1 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
70345bab | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
421c0d85 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | False | True | Growth_Arrest | 0
525c9766 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
1fdffdb5 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
f7e5c424 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
a37b79d4 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
